,0
0,0.00020688350146648595
1,0.0002170770042310883
2,0.00022592917750651766
3,0.00023371528317434357
4,0.00024056812114947544
5,0.00024721270698199087
6,0.00025248219096142045
7,0.00025645147760583866
8,0.0002604270303326514
9,0.00026647232619110274
10,0.00027559191199403373
11,0.000286289234715014
12,0.00029788445126213855
13,0.0003089515190756082
14,0.0003188207171563335
15,0.0003277353177332696
16,0.0003351368773418038
17,0.0003414023005339538
18,0.00034572676438724385
19,0.00034898430147458433
20,0.00035293963778699984
21,0.0003590509370291334
22,0.0003685588104645978
23,0.00038015110681561924
24,0.0003919969091832183
25,0.0004027698251453084
26,0.00041218855818565657
27,0.00042031212869461155
28,0.00042687561509769083
29,0.0004316051142334669
30,0.0004356910156921182
31,0.0004395659815296782
32,0.00044255077289529903
33,0.00044786298683986714
34,0.00045677991516966497
35,0.00046709719040153295
36,0.00047809487529252193
37,0.0004884278080494631
38,0.0004972645651952656
39,0.0005051532932915021
40,0.0005116470512535136
41,0.0005168703382426164
42,0.0005214967109115198
43,0.0005252043585611485
44,0.0005284105844782411
45,0.0005335268549167769
46,0.0005415310094296697
47,0.0005517093832476328
48,0.0005632734463990332
49,0.0005741668997830588
50,0.0005833384673094358
51,0.0005911617548235687
52,0.0005976755213015996
53,0.0006032886937954064
54,0.0006072623654209247
55,0.0006096003466179457
56,0.0006119952030830024
57,0.0006170350706416772
58,0.0006253467411178528
59,0.0006351769255183487
60,0.0006457249508374799
61,0.0006551116800328371
62,0.0006629743040360878
63,0.0006701566802233323
64,0.0006760302080765447
65,0.0006801972512570382
66,0.0006832522801825298
67,0.0006858851603167733
68,0.0006885556410708439
69,0.0006921780940359716
70,0.0006989209990549577
71,0.0007082726027010574
72,0.0007181344397748314
73,0.0007272134428179119
74,0.0007350231339963844
75,0.0007415303440448267
76,0.0007462844723128193
77,0.0007504669586420299
78,0.000753994882611147
79,0.0007561273566296351
80,0.0007583960592772644
81,0.000762893137869712
82,0.0007701813470316474
83,0.0007791288900749229
84,0.0007887131804335361
85,0.000797270573653255
86,0.0008042160232677788
87,0.0008104192828428678
88,0.0008158335756446184
89,0.0008197802680788046
90,0.0008224030235920269
91,0.0008243477459323633
92,0.0008261062034164386
93,0.0008300048639038566
