1850	284.725
1851	284.875
1852	285
1853	285.125
1854	285.275
1855	285.425
1856	285.575
1857	285.725
1858	285.9
1859	286.075
1860	286.225
1861	286.375
1862	286.5
1863	286.625
1864	286.775
1865	286.9
1866	287
1867	287.1
1868	287.225
1869	287.375
1870	287.525
1871	287.7
1872	287.9
1873	288.125
1874	288.4
1875	288.7
1876	289.025
1877	289.4
1878	289.8
1879	290.225
1880	290.7
1881	291.2
1882	291.675
1883	292.125
1884	292.575
1885	292.975
1886	293.3
1887	293.575
1888	293.8
1889	294
1890	294.175
1891	294.325
1892	294.475
1893	294.6
1894	294.7
1895	294.8
1896	294.9
1897	295.025
1898	295.225
1899	295.5
1900	295.8
1901	296.125
1902	296.475
1903	296.825
1904	297.2
1905	297.625
1906	298.075
1907	298.5
1908	298.9
1909	299.3
1910	299.7
1911	300.075
1912	300.425
1913	300.775
1914	301.1
1915	301.4
1916	301.725
1917	302.075
1918	302.4
1919	302.7
1920	303.025
1921	303.4
1922	303.775
1923	304.125
1924	304.525
1925	304.975
1926	305.4
1927	305.825
1928	306.3
1929	306.775
1930	307.225
1931	307.7
1932	308.175
1933	308.6
1934	309
1935	309.4
1936	309.75
1937	310
1938	310.175
1939	310.3
1940	310.375
1941	310.375
1942	310.3
1943	310.2
1944	310.125
1945	310.1
1946	310.125
1947	310.2
1948	310.325
1949	310.5
1950	310.75
1951	311.1
1952	311.5
1953	311.925
1954	312.425
1955	313
1956	313.6
1957	314.225
1958	314.8475
1959	315.5
1960	316.2725
1961	317.075
1962	317.795
1963	318.3975
1964	318.925
1965	319.6475
1966	320.6475
1967	321.605
1968	322.635
1969	323.9025
1970	324.985
1971	325.855
1972	327.14
1973	328.6775
1974	329.7425
1975	330.585
1976	331.7475
1977	333.2725
1978	334.8475
1979	336.525
1980	338.36
1981	339.7275
1982	340.7925
1983	342.1975
1984	343.7825
1985	345.2825
1986	346.7975
1987	348.645
1988	350.7375
1989	352.4875
1990	353.855
1991	355.0175
1992	355.885
1993	356.7775
1994	358.1275
1995	359.8375
1996	361.4625
1997	363.155
1998	365.3225
1999	367.3475
2000	368.865
2001	370.4675
2002	372.5225
2003	374.76
2004	376.8125
2005	378.8125
2006	380.8275
2007	382.7775
2008	384.8
2009	387.01226
2010	389.32416
2011	391.63801
2012	394.00866
2013	396.46384
2014	399.00402
2015	401.62793
2016	404.32819
2017	407.09588
2018	409.92701
2019	412.82151
2020	415.78022
2021	418.79629
2022	421.86439
2023	424.99469
2024	428.19734
2025	431.47473
2026	434.82619
2027	438.24456
2028	441.7208
2029	445.25085
2030	448.83485
2031	452.47359
2032	456.177
2033	459.96398
2034	463.85181
2035	467.85003
2036	471.96047
2037	476.18237
2038	480.50799
2039	484.92724
2040	489.43545
2041	494.03235
2042	498.7297
2043	503.52959
2044	508.43266
2045	513.45614
2046	518.61062
2047	523.90006
2048	529.32418
2049	534.8752
2050	540.54279
2051	546.32201
2052	552.21189
2053	558.2122
2054	564.31311
2055	570.51669
2056	576.84343
2057	583.30471
2058	589.90539
2059	596.64656
2060	603.52045
2061	610.5165
2062	617.60526
2063	624.76367
2064	631.99471
2065	639.29052
2066	646.65274
2067	654.09843
2068	661.64491
2069	669.30474
2070	677.07762
2071	684.95429
2072	692.90196
2073	700.89416
2074	708.93159
2075	717.01548
2076	725.13597
2077	733.30667
2078	741.52368
2079	749.80466
2080	758.1823
2081	766.64451
2082	775.17446
2083	783.75141
2084	792.36578
2085	801.0188
2086	809.71464
2087	818.42214
2088	827.15719
2089	835.95594
2090	844.80471
2091	853.72536
2092	862.72597
2093	871.7768
2094	880.86435
2095	889.98162
2096	899.12407
2097	908.28871
2098	917.47137
2099	926.66527
2100	935.87437
